instance,vehicles_available,vehicles_used,best_known_vehicles,vehicle_gap,total_distance,best_known_distance,distance_gap_pct,runtime_seconds
C101,25,10,10,0,828.94,828.94,0.0,0.69
C102,25,10,0,0,828.94,0.0,0.0,300.54
C103,25,10,0,0,832.22,0.0,0.0,300.64
C104,25,10,0,0,877.97,0.0,0.0,300.79
C105,25,10,0,0,828.94,0.0,0.0,0.77
C106,25,10,0,0,828.94,0.0,0.0,1.72
C107,25,10,0,0,828.94,0.0,0.0,0.76
C108,25,10,0,0,828.94,0.0,0.0,46.16
C109,25,10,0,0,861.83,0.0,0.0,300.6
C201,25,3,0,0,591.56,0.0,0.0,0.5
C202,25,3,0,0,591.56,0.0,0.0,1.43
C203,25,3,0,0,591.17,0.0,0.0,28.92
C204,25,3,0,0,594.27,0.0,0.0,300.57
C205,25,3,0,0,588.88,0.0,0.0,1.33
C206,25,3,0,0,588.49,0.0,0.0,16.97
C207,25,3,0,0,588.29,0.0,0.0,35.14
C208,25,3,0,0,588.32,0.0,0.0,45.41
R101,25,20,19,1,1642.88,1650.8,-0.48,0.65
R102,25,18,0,0,1479.29,0.0,0.0,302.06
R103,25,15,0,0,1255.27,0.0,0.0,300.59
R104,25,13,0,0,1071.88,0.0,0.0,300.61
R105,25,15,0,0,1360.78,0.0,0.0,122.46
R106,25,14,0,0,1282.22,0.0,0.0,300.67
R107,25,13,0,0,1207.35,0.0,0.0,300.53
R108,25,11,0,0,1008.08,0.0,0.0,300.58
R109,25,14,0,0,1210.42,0.0,0.0,300.57
R110,25,13,0,0,1140.72,0.0,0.0,300.54
R111,25,14,0,0,1201.89,0.0,0.0,300.59
R112,25,13,0,0,1112.5,0.0,0.0,300.61
R201,25,8,0,0,1147.8,0.0,0.0,20.15
R202,25,8,0,0,1103.03,0.0,0.0,300.63
R203,25,7,0,0,1010.13,0.0,0.0,300.59
R204,25,6,0,0,775.36,0.0,0.0,300.62
R205,25,6,0,0,976.41,0.0,0.0,300.64
R206,25,7,0,0,972.9,0.0,0.0,300.53
R207,25,6,0,0,960.13,0.0,0.0,300.66
R208,25,4,0,0,734.46,0.0,0.0,300.74
R209,25,6,0,0,883.17,0.0,0.0,300.64
R210,25,8,0,0,1021.1,0.0,0.0,300.69
R211,25,7,0,0,847.4,0.0,0.0,300.65
RC101,25,15,14,1,1623.58,1696.94,-4.32,184.22
RC102,25,16,0,0,1549.61,0.0,0.0,300.7
RC103,25,13,0,0,1395.59,0.0,0.0,300.61
RC104,25,12,0,0,1240.56,0.0,0.0,300.58
RC105,25,16,0,0,1579.99,0.0,0.0,302.22
RC106,25,14,0,0,1424.36,0.0,0.0,300.64
RC107,25,14,0,0,1387.75,0.0,0.0,300.62
RC108,25,12,0,0,1220.05,0.0,0.0,300.61
RC201,25,9,0,0,1265.56,0.0,0.0,123.57
RC202,25,8,0,0,1121.23,0.0,0.0,300.66
RC203,25,6,0,0,1077.03,0.0,0.0,300.69
RC204,25,5,0,0,832.8,0.0,0.0,300.79
RC205,25,9,0,0,1241.2,0.0,0.0,300.67
RC206,25,7,0,0,1209.57,0.0,0.0,300.69
RC207,25,8,0,0,1136.76,0.0,0.0,300.59
RC208,25,7,0,0,881.18,0.0,0.0,300.73
