instance,vehicles_available,vehicles_used,best_known_vehicles,vehicle_gap,total_distance,best_known_distance,distance_gap_pct,runtime_seconds
C101,25,10,10,0,828.94,828.94,0.0,0.41
C102,25,10,0,0,828.94,0.0,0.0,181.09
C103,25,10,0,0,832.0,0.0,0.0,185.74
C104,25,10,0,0,851.23,0.0,0.0,300.87
C105,25,10,0,0,828.94,0.0,0.0,0.47
C106,25,10,0,0,828.94,0.0,0.0,1.59
C107,25,10,0,0,828.94,0.0,0.0,0.59
C108,25,10,0,0,828.94,0.0,0.0,180.72
C109,25,10,0,0,828.94,0.0,0.0,193.24
C201,25,3,0,0,591.56,0.0,0.0,0.32
C202,25,3,0,0,591.56,0.0,0.0,2.24
C203,25,3,0,0,591.17,0.0,0.0,33.84
C204,25,3,0,0,596.55,0.0,0.0,180.89
C205,25,3,0,0,588.88,0.0,0.0,1.51
C206,25,3,0,0,588.49,0.0,0.0,3.18
C207,25,3,0,0,588.29,0.0,0.0,41.55
C208,25,3,0,0,588.32,0.0,0.0,181.67
R101,25,20,19,1,1642.88,1650.8,-0.48,0.39
R102,25,18,0,0,1475.12,0.0,0.0,182.45
R103,25,16,0,0,1262.65,0.0,0.0,185.95
R104,25,12,0,0,1033.15,0.0,0.0,184.54
R105,25,15,0,0,1360.78,0.0,0.0,180.6
R106,25,14,0,0,1271.2,0.0,0.0,180.65
R107,25,14,0,0,1140.42,0.0,0.0,182.03
R108,25,11,0,0,987.31,0.0,0.0,300.79
R109,25,14,0,0,1214.99,0.0,0.0,182.61
R110,25,12,0,0,1137.35,0.0,0.0,218.3
R111,25,13,0,0,1126.29,0.0,0.0,206.98
R112,25,11,0,0,1022.36,0.0,0.0,301.31
R201,25,8,0,0,1147.8,0.0,0.0,180.46
R202,25,8,0,0,1060.73,0.0,0.0,180.61
R203,25,7,0,0,930.39,0.0,0.0,181.19
R204,25,6,0,0,765.28,0.0,0.0,182.83
R205,25,6,0,0,984.19,0.0,0.0,180.75
R206,25,6,0,0,926.86,0.0,0.0,180.92
R207,25,5,0,0,889.2,0.0,0.0,285.5
R208,25,5,0,0,720.93,0.0,0.0,191.4
R209,25,7,0,0,961.98,0.0,0.0,182.0
R210,25,8,0,0,964.06,0.0,0.0,181.87
R211,25,6,0,0,824.58,0.0,0.0,182.29
RC101,25,15,14,1,1623.58,1696.94,-4.32,180.5
RC102,25,14,0,0,1482.73,0.0,0.0,181.85
RC103,25,13,0,0,1392.5,0.0,0.0,300.68
RC104,25,11,0,0,1245.6,0.0,0.0,300.8
RC105,25,15,0,0,1553.84,0.0,0.0,180.57
RC106,25,14,0,0,1420.13,0.0,0.0,300.61
RC107,25,14,0,0,1342.82,0.0,0.0,190.72
RC108,25,12,0,0,1213.52,0.0,0.0,300.74
RC201,25,9,0,0,1265.56,0.0,0.0,180.57
RC202,25,8,0,0,1103.84,0.0,0.0,180.91
RC203,25,7,0,0,1084.74,0.0,0.0,181.09
RC204,25,4,0,0,810.94,0.0,0.0,196.68
RC205,25,9,0,0,1200.49,0.0,0.0,181.3
RC206,25,7,0,0,1095.76,0.0,0.0,180.83
RC207,25,7,0,0,1085.17,0.0,0.0,181.55
RC208,25,7,0,0,910.92,0.0,0.0,219.02
