instance,vehicles_available,vehicles_used,best_known_vehicles,vehicle_gap,total_distance,best_known_distance,distance_gap_pct,runtime_seconds
C101,25,10,10,0,828.94,828.94,0.0,1.13
C102,25,10,0,0,831.05,0.0,0.0,30.44
C103,25,10,0,0,832.0,0.0,0.0,35.71
C104,25,10,0,0,899.74,0.0,0.0,90.9
C105,25,10,0,0,828.94,0.0,0.0,0.45
C106,25,10,0,0,828.94,0.0,0.0,1.52
C107,25,10,0,0,828.94,0.0,0.0,0.54
C108,25,10,0,0,828.94,0.0,0.0,32.24
C109,25,10,0,0,828.94,0.0,0.0,43.92
C201,25,3,0,0,591.56,0.0,0.0,0.31
C202,25,3,0,0,591.56,0.0,0.0,2.06
C203,25,3,0,0,591.17,0.0,0.0,30.45
C204,25,4,0,0,657.38,0.0,0.0,32.08
C205,25,3,0,0,588.88,0.0,0.0,1.37
C206,25,3,0,0,588.49,0.0,0.0,3.17
C207,25,3,0,0,588.29,0.0,0.0,31.02
C208,25,3,0,0,588.32,0.0,0.0,31.29
R101,25,20,19,1,1642.88,1650.8,-0.48,0.35
R102,25,18,0,0,1477.55,0.0,0.0,33.22
R103,25,16,0,0,1275.11,0.0,0.0,34.78
R104,25,12,0,0,1074.68,0.0,0.0,35.99
R105,25,15,0,0,1360.78,0.0,0.0,30.48
R106,25,14,0,0,1273.69,0.0,0.0,31.47
R107,25,14,0,0,1140.42,0.0,0.0,31.8
R108,25,11,0,0,1017.09,0.0,0.0,42.6
R109,25,14,0,0,1214.99,0.0,0.0,32.48
R110,25,13,0,0,1159.52,0.0,0.0,33.04
R111,25,13,0,0,1122.11,0.0,0.0,90.73
R112,25,12,0,0,1087.02,0.0,0.0,90.76
R201,25,8,0,0,1147.8,0.0,0.0,30.43
R202,25,8,0,0,1069.07,0.0,0.0,31.56
R203,25,7,0,0,931.09,0.0,0.0,30.9
R204,25,6,0,0,789.65,0.0,0.0,30.87
R205,25,6,0,0,984.19,0.0,0.0,30.73
R206,25,6,0,0,932.59,0.0,0.0,30.7
R207,25,5,0,0,896.84,0.0,0.0,90.6
R208,25,5,0,0,769.54,0.0,0.0,90.66
R209,25,7,0,0,961.98,0.0,0.0,31.93
R210,25,8,0,0,972.63,0.0,0.0,31.29
R211,25,7,0,0,906.38,0.0,0.0,33.22
RC101,25,15,14,1,1623.58,1696.94,-4.32,30.32
RC102,25,15,0,0,1489.13,0.0,0.0,30.69
RC103,25,13,0,0,1424.47,0.0,0.0,41.66
RC104,25,12,0,0,1267.37,0.0,0.0,67.29
RC105,25,16,0,0,1580.86,0.0,0.0,30.46
RC106,25,14,0,0,1468.71,0.0,0.0,31.77
RC107,25,14,0,0,1342.82,0.0,0.0,39.35
RC108,25,12,0,0,1228.44,0.0,0.0,90.6
RC201,25,9,0,0,1265.56,0.0,0.0,31.83
RC202,25,10,0,0,1155.61,0.0,0.0,30.66
RC203,25,7,0,0,1084.74,0.0,0.0,31.1
RC204,25,4,0,0,859.77,0.0,0.0,44.42
RC205,25,9,0,0,1200.49,0.0,0.0,31.35
RC206,25,8,0,0,1143.49,0.0,0.0,31.62
RC207,25,7,0,0,1085.17,0.0,0.0,31.35
RC208,25,7,0,0,934.32,0.0,0.0,56.37
