instance,vehicles_available,vehicles_used,best_known_vehicles,vehicle_gap,total_distance,best_known_distance,distance_gap_pct,runtime_seconds
C101,25,10,10,0,828.94,828.94,0.0,0.61
C102,25,10,10,0,828.94,828.94,0.0,31.09
C103,25,10,10,0,840.24,828.06,1.47,79.92
C104,25,10,10,0,891.43,824.78,8.08,90.89
C105,25,10,10,0,828.94,828.94,0.0,0.75
C106,25,10,10,0,828.94,828.94,0.0,2.13
C107,25,10,10,0,828.94,828.94,0.0,0.9
C108,25,10,10,0,866.14,828.94,4.49,30.87
C109,25,11,10,1,903.97,828.94,9.05,90.71
C201,25,3,3,0,591.56,591.56,0.0,0.52
C202,25,3,3,0,591.56,591.56,0.0,2.8
C203,25,3,3,0,591.17,591.17,0.0,30.77
C204,25,4,3,1,641.85,590.6,8.68,32.23
C205,25,3,3,0,588.88,588.88,0.0,1.6
C206,25,3,3,0,588.49,588.49,0.0,6.41
C207,25,3,3,0,588.29,588.29,0.0,31.72
C208,25,3,3,0,588.32,588.32,0.0,31.89
R101,25,20,19,1,1642.88,1650.8,-0.48,0.41
R102,25,18,17,1,1478.6,1486.12,-0.51,30.66
R103,25,16,13,3,1291.92,1292.68,-0.06,54.34
R104,25,12,9,3,1134.08,1007.31,12.59,90.83
R105,25,15,14,1,1360.78,1377.11,-1.19,30.64
R106,25,14,12,2,1294.04,1252.03,3.36,32.04
R107,25,13,10,3,1187.62,1104.66,7.51,38.09
R108,25,11,9,2,1056.12,960.88,9.91,90.93
R109,25,14,11,3,1217.2,1194.73,1.88,40.07
R110,25,13,10,3,1160.64,1118.84,3.74,90.76
R111,25,13,10,3,1114.73,1096.72,1.64,90.71
R112,25,12,9,3,1115.37,982.14,13.57,90.85
R201,25,8,4,4,1147.8,1252.37,-8.35,30.57
R202,25,9,3,6,1085.46,1191.7,-8.91,30.8
R203,25,8,3,5,998.05,939.5,6.23,31.77
R204,25,6,2,4,836.34,825.52,1.31,31.16
R205,25,6,3,3,1021.56,994.43,2.73,30.76
R206,25,6,3,3,938.12,906.14,3.53,31.48
R207,25,5,2,3,826.92,890.61,-7.15,90.84
R208,25,4,2,2,811.92,726.82,11.71,32.71
R209,25,6,3,3,957.74,909.16,5.34,39.56
R210,25,8,3,5,961.37,939.37,2.34,36.45
R211,25,7,2,5,901.58,885.71,1.79,90.9
RC101,25,15,14,1,1637.4,1696.95,-3.51,30.41
RC102,25,15,12,3,1515.69,1554.75,-2.51,31.84
RC103,25,13,11,2,1415.85,1261.67,12.22,40.04
RC104,25,11,10,1,1294.39,1135.48,13.99,90.83
RC105,25,17,13,4,1576.21,1629.44,-3.27,30.53
RC106,25,14,11,3,1470.83,1424.73,3.24,33.62
RC107,25,14,11,3,1348.41,1230.48,9.58,34.82
RC108,25,12,10,2,1314.63,1139.82,15.34,90.91
RC201,25,9,4,5,1270.75,1406.94,-9.68,30.54
RC202,25,9,3,6,1181.65,1365.65,-13.47,31.36
RC203,25,7,3,4,1059.19,1049.62,0.91,35.65
RC204,25,5,3,2,874.36,798.46,9.51,90.85
RC205,25,10,4,6,1213.79,1297.65,-6.46,31.09
RC206,25,7,3,4,1140.43,1146.32,-0.51,35.73
RC207,25,7,3,4,1075.7,1061.14,1.37,59.44
RC208,25,7,3,4,991.87,828.14,19.77,90.93
