instance,vehicles_available,vehicles_used,best_known_vehicles,vehicle_gap,total_distance,best_known_distance,distance_gap_pct,runtime_seconds
C101,25,10,10,0,828.94,828.94,0.0,0.69
C102,25,10,10,0,828.94,828.94,0.0,181.27
C103,25,10,10,0,828.06,828.06,0.0,196.56
C104,25,10,10,0,857.67,824.78,3.99,300.96
C105,25,10,10,0,828.94,828.94,0.0,0.74
C106,25,10,10,0,828.94,828.94,0.0,2.05
C107,25,10,10,0,828.94,828.94,0.0,0.87
C108,25,10,10,0,828.94,828.94,0.0,180.88
C109,25,10,10,0,828.94,828.94,0.0,195.16
C201,25,3,3,0,591.56,591.56,0.0,0.56
C202,25,3,3,0,591.56,591.56,0.0,2.88
C203,25,3,3,0,591.17,591.17,0.0,37.21
C204,25,3,3,0,593.93,590.6,0.56,181.2
C205,25,3,3,0,588.88,588.88,0.0,1.65
C206,25,3,3,0,588.49,588.49,0.0,6.43
C207,25,3,3,0,588.29,588.29,0.0,37.26
C208,25,3,3,0,588.32,588.32,0.0,182.0
R101,25,20,19,1,1642.88,1650.8,-0.48,0.42
R102,25,18,17,1,1479.18,1486.12,-0.47,181.52
R103,25,16,13,3,1277.41,1292.68,-1.18,185.16
R104,25,12,9,3,1064.09,1007.31,5.64,192.13
R105,25,15,14,1,1360.78,1377.11,-1.19,180.73
R106,25,14,12,2,1294.04,1252.03,3.36,181.95
R107,25,13,10,3,1162.76,1104.66,5.26,300.79
R108,25,11,9,2,1027.84,960.88,6.97,300.96
R109,25,14,11,3,1212.11,1194.73,1.45,199.78
R110,25,13,10,3,1156.52,1118.84,3.37,300.74
R111,25,13,10,3,1114.73,1096.72,1.64,300.8
R112,25,11,9,2,1051.55,982.14,7.07,300.9
R201,25,8,4,4,1147.8,1252.37,-8.35,180.52
R202,25,8,3,5,1064.75,1191.7,-10.65,182.61
R203,25,8,3,5,991.21,939.5,5.5,181.79
R204,25,6,2,4,787.8,825.52,-4.57,181.12
R205,25,6,3,3,1021.56,994.43,2.73,180.72
R206,25,6,3,3,938.12,906.14,3.53,181.44
R207,25,5,2,3,826.92,890.61,-7.15,300.93
R208,25,3,2,1,784.04,726.82,7.87,301.14
R209,25,6,3,3,947.5,909.16,4.22,189.36
R210,25,8,3,5,961.37,939.37,2.34,186.8
R211,25,6,2,4,841.42,885.71,-5.0,182.13
RC101,25,15,14,1,1635.11,1696.95,-3.64,180.85
RC102,25,15,12,3,1485.78,1554.75,-4.44,181.48
RC103,25,13,11,2,1402.04,1261.67,11.13,300.8
RC104,25,12,10,2,1277.43,1135.48,12.5,201.25
RC105,25,16,13,3,1556.95,1629.44,-4.45,180.67
RC106,25,14,11,3,1445.34,1424.73,1.45,183.35
RC107,25,13,11,2,1286.25,1230.48,4.53,300.79
RC108,25,12,10,2,1292.36,1139.82,13.38,300.94
RC201,25,9,4,5,1265.56,1406.94,-10.05,180.59
RC202,25,9,3,6,1133.86,1365.65,-16.97,180.74
RC203,25,7,3,4,1059.19,1049.62,0.91,185.8
RC204,25,5,3,2,815.75,798.46,2.17,300.93
RC205,25,10,4,6,1213.79,1297.65,-6.46,181.05
RC206,25,7,3,4,1081.61,1146.32,-5.65,180.72
RC207,25,7,3,4,1075.7,1061.14,1.37,209.06
RC208,25,6,3,3,884.37,828.14,6.79,300.99
